lo,hi,sample,variable,weighted,A,error,n
1200,1350,candidate,sdSignal_REC,True,-0.09563257142564831,0.007380937199650109,11067
1200,1350,candidate,sdSignal_REC,False,-0.08976384005306258,0.012812247601830916,11067
1200,1350,SDsignal_zero,nMuones_MC,True,,,0
1200,1350,SDsignal_zero,nMuones_MC,False,,,0
1200,1350,SDsignal_zero,sd_nMuons_MC,True,,,0
1200,1350,SDsignal_zero,sd_nMuons_MC,False,,,0
1200,1350,SDsignal_zero,sd_nEM_MC,True,,,0
1200,1350,SDsignal_zero,sd_nEM_MC,False,,,0
1200,1350,SDsignal_zero,sdSignal_REC,True,,,0
1200,1350,SDsignal_zero,sdSignal_REC,False,,,0
1200,1350,SDsignal_positive,nMuones_MC,True,0.08159722767774781,0.029126122888913676,11082
1200,1350,SDsignal_positive,nMuones_MC,False,0.0799666424812696,0.023123286978513194,11082
1200,1350,SDsignal_positive,sd_nMuons_MC,True,-0.12397227128574753,0.009884529033066023,11082
1200,1350,SDsignal_positive,sd_nMuons_MC,False,-0.11392427070643545,0.015154974004983359,11082
1200,1350,SDsignal_positive,sd_nEM_MC,True,0.4478515027822721,0.0049270267386161545,11082
1200,1350,SDsignal_positive,sd_nEM_MC,False,0.44911908412039725,0.010855059349852392,11082
1200,1350,SDsignal_positive,sdSignal_REC,True,-0.09785997436543886,0.00737280100964323,11082
1200,1350,SDsignal_positive,sdSignal_REC,False,-0.09250746741795962,0.012627812025591075,11082
